id,name
17A11AE71F30477DBB23A3D643557533,新石器时代大汶口文化彩绘陶罐
4359f2f7976c40dca101745c5eefdd91,新石器时代大汶口文化彩陶壶
4c168d7fe4494882bc97ddebc35e5f5a,新石器时代龙山文化泥质黑陶单把杯
4ceb071bf4b941238c115bce1be04f90,新石器时代龙山文化弦纹红陶鬶
75CE68ADA9244799B393E817E1211FE6,新石器时代大汶口文化彩陶钵
F50A76B69A4D46CC989635E26BAEADC2,新石器时代龙山文化白陶鬹
a2a6b23d55324997b5d72e8361811d22,新石器时代龙山文化泥质黑陶单把杯
c209f3fbf25d42d5a69f52baa7815426,红陶鬶
fb33423d06fc419895a0d94874699e45,新石器时代龙山文化蛋壳黑陶镂孔高柄杯
01a7147628c948459d3545a9f8edf830,磨光黑陶罐1
023c6c328e1c4ea7b1179289477cd260,鼎
0b352d57ed754a5683c540df3855d084,鼎
0e17c26e26d4481c80697ebb7fff3a28,大汶口文化褐陶鬶
0e5c3f852987458b931bcf7a6cf40cf2,陶罐
0f3e450be02a4159a9215098268fd63c, 绳纹陶罐
134de3c6b7bd409c8cf7589ed3c175f3,带工二系杯2
15f124c3ad284abdb01007cd33ecfb67,碗
16e7ddb912964549b66a9331a7e7f88f,磨光黑陶罐2
176fb5cda84249ec8d9510c1602c1729,泥质灰陶浅盘豆
1830fa26029647738593ddbc12b4ad98,单把罐
18bebae3b3144397af9f8d1687b6ca87,覆钵形器盖
1934ba0f587f4df19056cdd724bf3fae,蒜头瓶
1b9e9e00b9dd44f69f1e5c68dbcfa7e6,鼎
1c622d4bc9a9422286500a19f06d0f45,灰陶壶
1fa81a69bd4f4571b63945c5ef1513d5,黑陶罐2
21af3e4afe0b4d0d99aecaaa9a040ea9,器盖（大）
286d0ce5be684577af0b63a26ca826a3,陶罐
33994540ada34caeb4190a58abc14aa9,陶罐2
35f98fdd1d3d4fdc98b4b3cddbb3c42e,黑陶罐
377ec070ac1c42ac84879e8317c4f220,深腹罐
385d4656f3234311b10cc51f9197e5ef,单把壶
3c0daad21b8d43d0b0ff40f7acdcd5fc,北辛文化红陶鼎
3cdb73e9aab74c2e93d43a9be9cbd368,加沙把式陶鼎3
3edcac455f984ae18f6a1bb4545aa966,陶罐1
3f05f8d842fb4458b921c030ca03e34e,黑陶罐
3f649b89a3474b04b3661ce9e5334a33,罐
410c158f425f4f04985ea2d7279e8e87,器盖
43a1e9042d174df8a8e8f26d16fd18ad,小罐
43bef139edeb44f4845b2e869576df1d,龙山文化中晚期黑陶罍
44a2e95585944dbd9b319c3e38f7d19a,夹砂灰陶罐
45db9dae2fa142d88821e00ed8cf5374,加沙把式陶鼎6
46ef75e3a94b4341b3ea43ba3025b763,新石器时代岳石文化素面灰陶觚
4ae441bafbd24c25b830cb890c5131f3,磨光黑陶罐1
4ea4ae2171f94fbbad92ccfa06d10710,陶饜
5148e9a59429411c91fb9fa0d2e1bcc8,泥质磨光黑陶壶
5365efa7f64b4cdd9dd47e80cd160d5b,器盖
561c4459bfdd4c6f81a46c6d65b7ae28,平底盆
582b37f0109d4619aa9adbb87305fc86,甗
59663a8c9af84597b3b4d63b1bac121c,新石器时代岳石文化素面灰陶觚
59b2cf50d43545a8ae12e263cf4a6a35,大汶口文化彩陶壶
5ecfe544454b47e48572af333a7303a5,罐
64729c5eecf943e6b4e7706e67d50134,碗
6b61aa81b20f48648db1cb0a51d6db5f,陶罐3
72949c42b9274dd696c70f9267cca7f9,陶碗
75b16c6c35eb4c08ac2f19e2939ce38c,大汶口文化晚期白陶高炳杯
77da0803e1ad4e9dbdefc5c495cec0ae,罐
7c6af576f34841f9bc51d3a0cea10648,鼎
7db8cb2d4594444d8ef36f8bc18436d6,龙山文化蛋壳陶杯蛋壳陶杯
8290cd86c86d423e96168f3dfe3d8c56,单把杯
8728f6f0b9a14b3ca490688ae5a00e0f,“雅室生香”紫砂壶
8962317f07b94ec298087fd076fee1f2,黑陶罐1
8f9424a240504d39a27d5c3100e67d11,带把陶杯2
90e3ce67b3fc43a8bd0cb030b6c78aa1,泥质黑陶单柄罐
92c8830a315e45b48a94217d63aa8c29,带把陶杯3
9736e94fc8f34149bf68a6583e8d36cc,夹砂红陶敛口盆
9aa49e35723d4d21ad10428348eeb45c,龙山文化白陶鬶
9b3d101bf0ea458591758e5c669dba27,带把陶杯4
9d1ff4f7f01940eab82539c3fceecf72,大汶口文化陶胚
9e5498ef2a67454faef8e4b411dd6228,器盖
a220533e828e4959a6ebbc719c7e7250,新石器时代龙山文化太阳纹陶片
a473e28b08854747984063ed4c8511aa,器盖
a904880ec0604ac4944c9463b53538ad,加沙把式陶鼎4
a9475155b83f4141b00cf4f6aec37d33,红陶鬶
aadc84e125e341a48c72d38ec6e94744,盖
ab4a92cfd9da42249063304ab8a06263,把式陶杯2
af3b398899c1447896bb02f868e43568,碗
b5c7e9ca5ccf4171abfc06eb51f1289d,泥质黑陶鸟喙足盆形鼎
ba03889950e54ea98a4fc843d19979fd,加沙把式陶鼎5
bf39388f5ffb4648896d527fa897a988,盆
bfdc30ad8171405ea10bef99a0422ab5,器盖
c007507063f4404abf8c978e61b5632b,把式陶杯3
c3e22b966eb743dda05b272f86e1d96d,三足陶鬲
c4effacb49a4418c8e8642fc583d2b83,小口罐
c63903fe68f344b490a66739058de72a,新石器时代大汶口文化黑陶豆
c65e1fc4d2904d6488a7ce16312c86a9,泥质四系橙黄陶罐
c7c478e9e0a34eb9983747c175547de2,器盖
c84a01863c8b4405a8ac34db1d21d084,红陶簋
cb0d4bd5c37e4b79827c004a8cd6a50e,新石器时代龙山文化夹砂红陶鬶
d0352d30fb43494bb4db8c13c4dbf547,器盖
d189dfe954604888b8f3f6d1e5c108a5,鬼脸足罐形鼎
d42614f78b0e4380a421b532859b0030,红陶鬶
d42b402529bf4da2a12cd9d52c198001,加沙把式陶鼎2
d9fe6058ef2541d0ba5f210ca05ee97d,豆
da581e9dbafd43deaa464faa666e408f,泥质黑陶盆
da6b180edfac42c9b663c472daf7fe63,陶鼎
e035e122c7644ec7a277c4d3a1506fe7,磨光黑陶四系罐2
eb21af37b7894553a42679e8e9ef6ffd,新石器时代龙山文化红陶鬶
f4eb877d688d4a99bb61c63457287895,环足钵
f780f4aab5844d458c1cc35fe5d0398e,单把杯
f89254270d2842c6aa255539716f53de,大汶口文化灰陶鬶
003895c08aa84c2a98d3d1696db7ffcf,新石器时代大汶口文化红陶鋬盆
0043E78E1BCD4F11902DCA3C76607652,新石器时代大汶口文化褐陶鬶
004658C82423474EB46AA00F6BEEDAFC,新石器时代大汶口文化红陶壶
0053DF2D67D346059E75B0729A69FE5B,新石器时代夹砂黑陶碗
005C79C1C40F4AB9AA9183E5B383E158,新石器时代龙山文化陶褐鬹
0080D7CDCAED42E99F3186AA3816DD20,新石器时代大汶口文化红褐陶盆
00C5FA0BD4F943D6BA9D20C6A9D27C5E,新石器时代龙山文化灰陶罐
00DB2EE22C974FA0AEDE4EEE468A619D,新石器时代大汶口文化夹砂红褐陶瓶
00E0F7EDB6BD4FE18CD60F7DF1074CD9,新石器时代大汶口文化镂孔白陶豆
